slug,key,value,osmium_tag_filter,nom en français dans ID,lien wiki,description en français dans taginfo,lien data item,modifié dans les data items ?,nsi_path,osmose_missing_item,osmose_missing_class,mots clefs à chercher dans les notes,mots clefs pour chercher dans l'auto-complétion,début du message pour les commerces déjà mappés,catégories proches peut-être à afficher aussi sur la page ?
shop/hifi,shop,hifi,nw/shop=hifi,Magasin de matériel hi-fi,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dhifi,Shop selling high fidelity audio components,http://wiki.openstreetmap.org/entity/Q4783,,brands/shop/hifi,8310,['47.43Z'],,,,electronics ?
shop/medical_supply,shop,medical_supply,nw/shop=medical_supply,Magasin de matériel médical,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dmedical_supply,Magasin de fournitures médicales,http://wiki.openstreetmap.org/entity/Q6798,,brands/shop/medical_supply,8310,['47.74Z'],,,,
shop/furniture,shop,furniture,nw/shop=furniture,Magasin de meubles,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dfurniture,,http://wiki.openstreetmap.org/entity/Q5001,,brands/shop/furniture,8310,['47.59A'],,,,
shop/watches,shop,watches,nw/shop=watches,Magasin de montres,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dwatches,A shop that sells watches.,http://wiki.openstreetmap.org/entity/Q5551,,brands/shop/watches,8310,['47.77Z'],,,,"montres, bijouteries"
shop/music,shop,music,nw/shop=music,Magasin de musique,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dmusic,"Shop selling musical instruments, lyrics, scores.",,,brands/shop/music,8310,['47.63Z'],,,,
shop/car_parts,shop,car_parts,nw/shop=car_parts,Magasin de pièces automobiles,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dcar_parts,"Magasin de pièces automobiles, accessoires, huiles de moteur, etc.",http://wiki.openstreetmap.org/entity/Q6396,,brands/shop/car_parts,8310,['45.32Z'],,,,autres car_qqch
shop/farm,shop,farm,nw/shop=farm,Magasin de producteurs,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dfarm,Un magasin à la ferme qui vend sa production.,http://wiki.openstreetmap.org/entity/Q4867,,,8310,"['47.11B', '47.11C', '47.21Z']",,,,
shop/frozen_food,shop,frozen_food,nw/shop=frozen_food,Magasin de produits surgelés,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dfrozen_food,Un magasin qui vend principalement des produits surgelés,,,brands/shop/frozen_food,8310,['47.11A'],,,,
shop/carpet,shop,carpet,nw/shop=carpet,Magasin de tapis,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dcarpet,Un magasin vendant des tapis et moquettes.,http://wiki.openstreetmap.org/entity/Q5473,,brands/shop/carpet,8310,['47.53Z'],,,,
shop/mobile_phone,shop,mobile_phone,nw/shop=mobile_phone,Magasin de téléphonie mobile,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dmobile_phone,Une boutique qui vend principalement des téléphones portables et des accessoires.,http://wiki.openstreetmap.org/entity/Q6565,,brands/shop/mobile_phone,8310,"['47.41Z', '47.42Z']",,,,
